"","Unnamed: 0","DATE","PRECIP_TOTAL_DAY_MM","VISIBILITY_AVG_KM"
"67","67","2018-03-09","2.2","5.5"
"68","68","2018-03-10","0.0","7.5"
"69","69","2018-03-11","0.0","10.0"
"70","70","2018-03-12","0.0","10.0"
"71","71","2018-03-13","0.0","10.0"
"72","72","2018-03-14","0.0","8.375"
"73","73","2018-03-15","0.3","9.625"
"74","74","2018-03-16","0.0","10.0"
"75","75","2018-03-17","0.3","10.0"
"76","76","2018-03-18","7.1","8.25"
"77","77","2018-03-19","1.0","8.0"
"78","78","2018-03-20","0.3","10.0"
"79","79","2018-03-21","1.6","7.0"
"80","80","2018-03-22","0.7","9.625"
"81","81","2018-03-23","14.3","8.0"
"82","82","2018-03-24","5.2","8.5"
"83","83","2018-03-25","0.0","10.0"
"84","84","2018-03-26","0.0","10.0"
"85","85","2018-03-27","0.0","10.0"
"86","86","2018-03-28","1.0","9.625"
"87","87","2018-03-29","0.0","8.875"
"88","88","2018-03-30","0.0","18.375"
"89","89","2018-03-31","2.4","17.375"
"90","90","2018-04-01","6.3","7.625"
"91","91","2018-04-02","0.5","10.0"
"92","92","2018-04-03","0.0","10.0"
"93","93","2018-04-04","0.5","9.75"
"94","94","2018-04-05","0.1","10.0"
"95","95","2018-04-06","0.1","10.0"
"96","96","2018-04-07","0.0","10.0"
"97","97","2018-04-08","0.0","9.0"
"98","98","2018-04-09","0.0","10.0"
"99","99","2018-04-10","0.2","10.0"
"100","100","2018-04-11","0.2","10.0"
"101","101","2018-04-12","0.2","10.0"
"102","102","2018-04-13","0.3","9.0"
"103","103","2018-04-14","0.1","10.0"
"104","104","2018-04-15","1.2","9.0"
"105","105","2018-04-16","0.6","9.0"
"106","106","2018-04-17","1.0","10.0"
"107","107","2018-04-18","1.8","9.875"
"108","108","2018-04-19","0.0","9.0"
"109","109","2018-04-20","0.0","10.0"
"110","110","2018-04-21","0.0","10.0"
"111","111","2018-04-22","0.5","10.0"
"112","112","2018-04-23","0.0","10.0"
"113","113","2018-04-24","0.0","10.0"
"114","114","2018-04-25","1.7","8.0"
"115","115","2018-04-26","3.5","10.0"
"116","116","2018-04-27","5.8","8.875"
"117","117","2018-04-28","2.9","9.75"
"118","118","2018-04-29","0.7","17.25"
"119","119","2018-04-30","5.6","17.375"
"120","120","2018-05-01","4.7","9.5"
"121","121","2018-05-02","1.4","8.875"
"122","122","2018-05-03","3.8","6.75"
"123","123","2018-05-04","2.2","8.0"
"124","124","2018-05-05","0.2","7.5"
"125","125","2018-05-06","5.7","7.625"
"126","126","2018-05-07","4.0","7.75"
"127","127","2018-05-08","0.6","6.875"
"128","128","2018-05-09","0.0","10.0"
"129","129","2018-05-10","0.0","10.0"
"130","130","2018-05-11","3.0","9.625"
"131","131","2018-05-12","10.6","9.5"
"132","132","2018-05-13","1.5","8.625"
"133","133","2018-05-14","1.6","8.625"
"134","134","2018-05-15","0.1","10.0"
"135","135","2018-05-16","0.0","10.0"
"136","136","2018-05-17","3.6","9.875"
"137","137","2018-05-18","29.2","8.375"
"138","138","2018-05-19","10.5","8.5"
"139","139","2018-05-20","2.1","7.5"
"140","140","2018-05-21","0.0","10.0"
"141","141","2018-05-22","0.0","10.0"
"142","142","2018-05-23","0.2","9.375"
"143","143","2018-05-24","0.2","5.75"
"144","144","2018-05-25","0.0","8.625"
"145","145","2018-05-26","0.0","10.0"
"146","146","2018-05-27","0.1","7.875"
"147","147","2018-05-28","4.9","9.0"
"148","148","2018-05-29","5.8","8.75"
"149","149","2018-05-30","2.4","9.625"
"150","150","2018-05-31","0.0","8.0"
"151","151","2018-06-01","1.2","8.75"
"152","152","2018-06-02","21.4","7.75"
"153","153","2018-06-03","7.1","7.375"
"154","154","2018-06-04","0.2","9.0"
"155","155","2018-06-05","0.8","10.0"
"156","156","2018-06-06","8.0","9.625"
"157","157","2018-06-07","0.9","9.75"
"158","158","2018-06-08","0.1","9.0"
"159","159","2018-06-09","8.2","9.25"
"160","160","2018-06-10","0.0","10.0"
"161","161","2018-06-11","0.0","10.0"
"162","162","2018-06-12","0.1","10.0"
"163","163","2018-06-13","0.0","9.0"
"164","164","2018-06-14","0.1","8.0"
"165","165","2018-06-15","2.4","9.0"
"166","166","2018-06-16","0.1","9.0"
"167","167","2018-06-17","0.2","10.125"
"168","168","2018-06-18","0.0","9.0"
"169","169","2018-06-19","0.0","9.0"
"170","170","2018-06-20","0.6","9.875"
"171","171","2018-06-21","1.3","15.75"
"172","172","2018-06-22","1.4","9.875"
"173","173","2018-06-23","0.2","9.0"
"174","174","2018-06-24","0.1","10.0"
"175","175","2018-06-25","0.7","10.0"
"176","176","2018-06-26","0.3","8.0"
"177","177","2018-06-27","12.0","9.75"
"178","178","2018-06-28","14.7","9.25"
"179","179","2018-06-29","5.3","8.75"
"180","180","2018-06-30","4.0","13.75"
"181","181","2018-07-01","8.4","5.625"
"182","182","2018-07-02","2.0","6.375"
"183","183","2018-07-03","0.2","10.0"
"184","184","2018-07-04","0.0","8.0"
"185","185","2018-07-05","0.0","10.0"
"186","186","2018-07-06","4.0","9.5"
"187","187","2018-07-07","0.8","10.0"
"188","188","2018-07-08","0.1","10.0"
"189","189","2018-07-09","11.2","7.875"
"190","190","2018-07-10","12.9","7.625"
"191","191","2018-07-11","2.6","7.375"
"192","192","2018-07-12","4.1","9.375"
"193","193","2018-07-13","2.7","7.75"
"194","194","2018-07-14","0.6","10.0"
"195","195","2018-07-15","0.0","8.0"
"196","196","2018-07-16","0.4","10.0"
"197","197","2018-07-17","0.0","9.0"
"198","198","2018-07-18","0.1","8.75"
"199","199","2018-07-19","7.2","9.0"
"200","200","2018-07-20","2.9","10.0"
"201","201","2018-07-21","0.1","10.0"
"202","202","2018-07-22","5.9","9.375"
"203","203","2018-07-23","7.7","9.375"
"204","204","2018-07-24","18.5","9.375"
"205","205","2018-07-25","1.7","10.0"
"206","206","2018-07-26","3.3","9.0"
"207","207","2018-07-27","1.7","9.625"
"208","208","2018-07-28","0.2","10.0"
"209","209","2018-07-29","0.3","10.0"
"210","210","2018-07-30","0.2","10.0"
"211","211","2018-07-31","0.2","10.0"
"212","212","2018-08-01","0.2","10.0"
"213","213","2018-08-02","0.0","10.0"
"214","214","2018-08-03","0.6","10.0"
"215","215","2018-08-04","0.2","9.375"
"216","216","2018-08-05","1.6","7.625"
"217","217","2018-08-06","0.0","10.0"
"218","218","2018-08-07","0.1","9.875"
"219","219","2018-08-08","9.5","8.25"
"220","220","2018-08-09","5.1","9.75"
"221","221","2018-08-10","5.5","9.375"
"222","222","2018-08-11","1.1","9.875"
"223","223","2018-08-12","2.4","7.0"
"224","224","2018-08-13","0.1","10.0"
"225","225","2018-08-14","0.0","10.0"
"226","226","2018-08-15","6.7","8.25"
"227","227","2018-08-16","0.0","10.0"
"228","228","2018-08-17","2.5","8.875"
"229","229","2018-08-18","17.2","9.25"
"230","230","2018-08-19","0.8","9.875"
"231","231","2018-08-20","0.0","10.0"
"232","232","2018-08-21","0.8","7.0"
"233","233","2018-08-22","0.0","10.0"
"234","234","2018-08-23","0.0","10.0"
"235","235","2018-08-24","0.0","10.0"
"236","236","2018-08-25","5.3","9.875"
"237","237","2018-08-26","0.0","10.0"
"238","238","2018-08-27","0.0","10.0"
"239","239","2018-08-28","0.0","10.0"
"240","240","2018-08-29","0.5","9.875"
"241","241","2018-08-30","4.0","15.375"
"242","242","2018-08-31","1.9","18.0"
"243","243","2018-09-01","4.0","10.875"
"244","244","2018-09-02","0.6","9.75"
"245","245","2018-09-03","0.2","9.375"
"246","246","2018-09-04","0.4","9.0"
"247","247","2018-09-05","0.0","10.0"
"248","248","2018-09-06","0.0","10.0"
"249","249","2018-09-07","0.0","10.0"
"250","250","2018-09-08","8.0","9.625"
"251","251","2018-09-09","12.0","9.25"
"252","252","2018-09-10","0.7","9.875"
"253","253","2018-09-11","1.4","10.0"
"254","254","2018-09-12","0.0","10.0"
"255","255","2018-09-13","53.2","8.375"
"256","256","2018-09-14","13.8","9.375"
"257","257","2018-09-15","0.0","10.0"
"258","258","2018-09-16","0.0","10.0"
"259","259","2018-09-17","3.8","10.0"
"260","260","2018-09-18","1.6","10.0"
"261","261","2018-09-19","0.0","10.0"
"262","262","2018-09-20","0.0","10.0"
"263","263","2018-09-21","0.0","10.0"
"264","264","2018-09-22","0.0","10.0"
"265","265","2018-09-23","0.0","10.0"
"266","266","2018-09-24","0.0","10.0"
"267","267","2018-09-25","0.0","10.0"
"268","268","2018-09-26","0.0","10.0"
"269","269","2018-09-27","0.0","10.0"
"270","270","2018-09-28","0.0","10.0"
"271","271","2018-09-29","1.6","10.0"
"272","272","2018-09-30","3.8","9.625"
"273","273","2018-10-01","2.5","9.75"
"274","274","2018-10-02","2.3","9.75"
"275","275","2018-10-03","9.2","16.75"
"276","276","2018-10-04","0.0","11.625"
"277","277","2018-10-05","0.0","10.0"
"278","278","2018-10-06","0.0","10.0"
"279","279","2018-10-07","0.0","10.0"
"280","280","2018-10-08","0.0","10.0"
"281","281","2018-10-09","0.0","10.0"
"282","282","2018-10-10","0.0","10.0"
"283","283","2018-10-11","0.0","10.0"
"284","284","2018-10-12","0.0","10.0"
"285","285","2018-10-13","0.0","10.0"
"286","286","2018-10-14","0.0","10.0"
"287","287","2018-10-15","0.0","10.0"
"288","288","2018-10-16","0.0","10.0"
"289","289","2018-10-17","0.0","10.0"
"290","290","2018-10-18","0.0","10.0"
"291","291","2018-10-19","0.0","10.0"
"292","292","2018-10-20","8.0","9.75"
"293","293","2018-10-21","2.4","9.75"
"294","294","2018-10-22","0.0","10.0"
"295","295","2018-10-23","0.0","10.0"
"296","296","2018-10-24","0.0","10.0"
"297","297","2018-10-25","0.0","10.0"
"298","298","2018-10-26","0.0","10.0"
"299","299","2018-10-27","0.1","10.0"
"300","300","2018-10-28","0.0","10.0"
"301","301","2018-10-29","0.8","8.0"
"302","302","2018-10-30","0.0","18.25"
"303","303","2018-10-31","0.0","20.0"
"304","304","2018-11-01","0.0","10.0"
"305","305","2018-11-02","0.0","10.0"
"306","306","2018-11-03","0.0","10.0"
"307","307","2018-11-04","1.4","10.0"
"308","308","2018-11-05","1.4","9.875"
"309","309","2018-11-06","0.0","10.0"
"310","310","2018-11-07","0.0","10.0"
"311","311","2018-11-08","0.0","10.0"
"312","312","2018-11-09","0.2","9.375"
"313","313","2018-11-10","2.9","8.625"
"314","314","2018-11-11","18.8","8.375"
"315","315","2018-11-12","23.6","8.25"
"316","316","2018-11-13","0.4","9.875"
"317","317","2018-11-14","0.0","10.0"
"318","318","2018-11-15","0.0","10.0"
"319","319","2018-11-16","0.0","10.0"
"320","320","2018-11-17","0.4","9.875"
"321","321","2018-11-18","0.0","10.0"
"322","322","2018-11-19","1.7","9.0"
"323","323","2018-11-20","0.2","10.0"
"324","324","2018-11-21","0.0","10.0"
"325","325","2018-11-22","0.0","10.0"
"326","326","2018-11-23","4.6","10.0"
"327","327","2018-11-24","2.5","10.0"
"328","328","2018-11-25","2.4","8.75"
"329","329","2018-11-26","0.3","10.0"
"330","330","2018-11-27","7.9","8.375"
"331","331","2018-11-28","15.6","8.875"
"332","332","2018-11-29","0.4","16.625"
"333","333","2018-11-30","2.3","16.0"
"334","334","2018-12-01","0.2","9.75"
"335","335","2018-12-02","0.0","10.0"
"336","336","2018-12-03","2.6","8.125"
"337","337","2018-12-04","0.1","5.375"
"338","338","2018-12-05","0.1","10.0"
"339","339","2018-12-06","0.0","10.0"
"340","340","2018-12-07","7.9","8.125"
"341","341","2018-12-08","3.1","10.0"
"342","342","2018-12-09","0.2","10.0"
"343","343","2018-12-10","18.8","7.875"
"344","344","2018-12-11","21.6","7.875"
"345","345","2018-12-12","0.1","10.0"
"346","346","2018-12-13","8.8","9.125"
"347","347","2018-12-14","19.3","7.875"
"348","348","2018-12-15","5.8","14.875"
"349","349","2018-12-16","1.2","10.25"
"350","350","2018-12-17","2.9","9.375"
"351","351","2018-12-18","8.7","9.125"
"352","352","2018-12-19","0.0","9.0"
"353","353","2018-12-20","0.5","7.0"
"354","354","2018-12-21","2.9","2.625"
"355","355","2018-12-22","1.4","3.125"
"356","356","2018-12-23","0.5","4.875"
"357","357","2018-12-24","1.2","7.0"
"358","358","2018-12-25","0.6","10.0"
"359","359","2018-12-26","1.5","8.625"
"360","360","2018-12-27","9.0","7.625"
"361","361","2018-12-28","0.0","10.0"
"362","362","2018-12-29","10.4","8.625"
"363","363","2018-12-30","12.2","8.25"
"364","364","2018-12-31","5.6","8.5"
